,ds,y,ds,y
0,1996-04,120400.0,1996-04,120400.0
1,1996-05,118700.0,1996-05,118700.0
2,1996-06,117300.0,1996-06,117300.0
3,1996-07,116100.0,1996-07,116100.0
4,1996-08,115300.0,1996-08,115300.0
5,1996-09,114700.0,1996-09,114700.0
6,1996-10,114400.0,1996-10,114400.0
7,1996-11,114300.0,1996-11,114300.0
8,1996-12,114300.0,1996-12,114300.0
9,1997-01,114300.0,1997-01,114300.0
10,1997-02,114700.0,1997-02,114700.0
11,1997-03,115300.0,1997-03,115300.0
12,1997-04,115900.0,1997-04,115900.0
13,1997-05,116600.0,1997-05,116600.0
14,1997-06,117300.0,1997-06,117300.0
15,1997-07,117900.0,1997-07,117900.0
16,1997-08,118400.0,1997-08,118400.0
17,1997-09,118800.0,1997-09,118800.0
18,1997-10,119000.0,1997-10,119000.0
19,1997-11,119100.0,1997-11,119100.0
20,1997-12,118800.0,1997-12,118800.0
21,1998-01,118400.0,1998-01,118400.0
22,1998-02,118000.0,1998-02,118000.0
23,1998-03,117700.0,1998-03,117700.0
24,1998-04,117300.0,1998-04,117300.0
25,1998-05,116800.0,1998-05,116800.0
26,1998-06,116200.0,1998-06,116200.0
27,1998-07,115700.0,1998-07,115700.0
28,1998-08,115100.0,1998-08,115100.0
29,1998-09,114500.0,1998-09,114500.0
30,1998-10,113800.0,1998-10,113800.0
31,1998-11,113200.0,1998-11,113200.0
32,1998-12,112400.0,1998-12,112400.0
33,1999-01,111600.0,1999-01,111600.0
34,1999-02,111000.0,1999-02,111000.0
35,1999-03,110600.0,1999-03,110600.0
36,1999-04,110200.0,1999-04,110200.0
37,1999-05,110100.0,1999-05,110100.0
38,1999-06,110000.0,1999-06,110000.0
39,1999-07,110100.0,1999-07,110100.0
40,1999-08,110200.0,1999-08,110200.0
41,1999-09,110400.0,1999-09,110400.0
42,1999-10,110600.0,1999-10,110600.0
43,1999-11,111000.0,1999-11,111000.0
44,1999-12,111300.0,1999-12,111300.0
45,2000-01,111700.0,2000-01,111700.0
46,2000-02,112300.0,2000-02,112300.0
47,2000-03,113100.0,2000-03,113100.0
48,2000-04,114000.0,2000-04,114000.0
49,2000-05,114900.0,2000-05,114900.0
50,2000-06,116000.0,2000-06,116000.0
51,2000-07,117000.0,2000-07,117000.0
52,2000-08,118000.0,2000-08,118000.0
53,2000-09,119000.0,2000-09,119000.0
54,2000-10,119700.0,2000-10,119700.0
55,2000-11,120300.0,2000-11,120300.0
56,2000-12,120700.0,2000-12,120700.0
57,2001-01,120800.0,2001-01,120800.0
58,2001-02,120800.0,2001-02,120800.0
59,2001-03,120700.0,2001-03,120700.0
60,2001-04,120500.0,2001-04,120500.0
61,2001-05,120200.0,2001-05,120200.0
62,2001-06,119900.0,2001-06,119900.0
63,2001-07,119600.0,2001-07,119600.0
64,2001-08,119300.0,2001-08,119300.0
65,2001-09,119100.0,2001-09,119100.0
66,2001-10,118800.0,2001-10,118800.0
67,2001-11,118600.0,2001-11,118600.0
68,2001-12,118400.0,2001-12,118400.0
69,2002-01,118300.0,2002-01,118300.0
70,2002-02,118200.0,2002-02,118200.0
71,2002-03,118300.0,2002-03,118300.0
72,2002-04,118400.0,2002-04,118400.0
73,2002-05,118600.0,2002-05,118600.0
74,2002-06,119000.0,2002-06,119000.0
75,2002-07,119400.0,2002-07,119400.0
76,2002-08,119900.0,2002-08,119900.0
77,2002-09,120300.0,2002-09,120300.0
78,2002-10,120700.0,2002-10,120700.0
79,2002-11,121200.0,2002-11,121200.0
80,2002-12,121500.0,2002-12,121500.0
81,2003-01,121700.0,2003-01,121700.0
82,2003-02,121800.0,2003-02,121800.0
83,2003-03,121900.0,2003-03,121900.0
84,2003-04,121900.0,2003-04,121900.0
85,2003-05,121800.0,2003-05,121800.0
86,2003-06,121500.0,2003-06,121500.0
87,2003-07,121000.0,2003-07,121000.0
88,2003-08,120600.0,2003-08,120600.0
89,2003-09,120400.0,2003-09,120400.0
90,2003-10,120500.0,2003-10,120500.0
91,2003-11,121000.0,2003-11,121000.0
92,2003-12,122000.0,2003-12,122000.0
93,2004-01,123300.0,2004-01,123300.0
94,2004-02,124800.0,2004-02,124800.0
95,2004-03,126500.0,2004-03,126500.0
96,2004-04,128000.0,2004-04,128000.0
97,2004-05,129200.0,2004-05,129200.0
98,2004-06,130100.0,2004-06,130100.0
99,2004-07,130700.0,2004-07,130700.0
100,2004-08,131200.0,2004-08,131200.0
101,2004-09,131500.0,2004-09,131500.0
102,2004-10,131800.0,2004-10,131800.0
103,2004-11,131900.0,2004-11,131900.0
104,2004-12,132000.0,2004-12,132000.0
105,2005-01,131900.0,2005-01,131900.0
106,2005-02,131800.0,2005-02,131800.0
107,2005-03,131600.0,2005-03,131600.0
108,2005-04,131400.0,2005-04,131400.0
109,2005-05,131200.0,2005-05,131200.0
110,2005-06,131100.0,2005-06,131100.0
111,2005-07,131000.0,2005-07,131000.0
112,2005-08,130800.0,2005-08,130800.0
113,2005-09,130600.0,2005-09,130600.0
114,2005-10,130500.0,2005-10,130500.0
115,2005-11,130400.0,2005-11,130400.0
116,2005-12,130400.0,2005-12,130400.0
117,2006-01,130400.0,2006-01,130400.0
118,2006-02,130600.0,2006-02,130600.0
119,2006-03,131000.0,2006-03,131000.0
120,2006-04,131500.0,2006-04,131500.0
121,2006-05,132100.0,2006-05,132100.0
122,2006-06,132800.0,2006-06,132800.0
123,2006-07,133600.0,2006-07,133600.0
124,2006-08,134500.0,2006-08,134500.0
125,2006-09,135400.0,2006-09,135400.0
126,2006-10,136200.0,2006-10,136200.0
127,2006-11,136700.0,2006-11,136700.0
128,2006-12,137100.0,2006-12,137100.0
129,2007-01,137300.0,2007-01,137300.0
130,2007-02,137400.0,2007-02,137400.0
131,2007-03,137400.0,2007-03,137400.0
132,2007-04,137600.0,2007-04,137600.0
133,2007-05,138000.0,2007-05,138000.0
134,2007-06,138500.0,2007-06,138500.0
135,2007-07,138900.0,2007-07,138900.0
136,2007-08,139000.0,2007-08,139000.0
137,2007-09,138900.0,2007-09,138900.0
138,2007-10,138600.0,2007-10,138600.0
139,2007-11,138100.0,2007-11,138100.0
140,2007-12,137400.0,2007-12,137400.0
141,2008-01,136600.0,2008-01,136600.0
142,2008-02,135600.0,2008-02,135600.0
143,2008-03,134400.0,2008-03,134400.0
144,2008-04,133200.0,2008-04,133200.0
145,2008-05,132000.0,2008-05,132000.0
146,2008-06,130800.0,2008-06,130800.0
147,2008-07,129600.0,2008-07,129600.0
148,2008-08,128900.0,2008-08,128900.0
149,2008-09,128300.0,2008-09,128300.0
150,2008-10,127800.0,2008-10,127800.0
151,2008-11,127200.0,2008-11,127200.0
152,2008-12,126800.0,2008-12,126800.0
153,2009-01,126400.0,2009-01,126400.0
154,2009-02,126100.0,2009-02,126100.0
155,2009-03,125500.0,2009-03,125500.0
156,2009-04,125000.0,2009-04,125000.0
157,2009-05,124400.0,2009-05,124400.0
158,2009-06,123900.0,2009-06,123900.0
159,2009-07,123600.0,2009-07,123600.0
160,2009-08,123700.0,2009-08,123700.0
161,2009-09,124100.0,2009-09,124100.0
162,2009-10,124600.0,2009-10,124600.0
163,2009-11,125200.0,2009-11,125200.0
164,2009-12,125500.0,2009-12,125500.0
165,2010-01,125900.0,2010-01,125900.0
166,2010-02,126500.0,2010-02,126500.0
167,2010-03,126900.0,2010-03,126900.0
168,2010-04,126800.0,2010-04,126800.0
169,2010-05,126800.0,2010-05,126800.0
170,2010-06,126700.0,2010-06,126700.0
171,2010-07,126200.0,2010-07,126200.0
172,2010-08,125000.0,2010-08,125000.0
173,2010-09,124500.0,2010-09,124500.0
174,2010-10,125100.0,2010-10,125100.0
175,2010-11,125200.0,2010-11,125200.0
176,2010-12,124900.0,2010-12,124900.0
177,2011-01,125000.0,2011-01,125000.0
178,2011-02,125400.0,2011-02,125400.0
179,2011-03,125900.0,2011-03,125900.0
180,2011-04,126200.0,2011-04,126200.0
181,2011-05,126400.0,2011-05,126400.0
182,2011-06,126700.0,2011-06,126700.0
183,2011-07,127200.0,2011-07,127200.0
184,2011-08,127400.0,2011-08,127400.0
185,2011-09,126700.0,2011-09,126700.0
186,2011-10,125300.0,2011-10,125300.0
187,2011-11,125000.0,2011-11,125000.0
188,2011-12,125200.0,2011-12,125200.0
189,2012-01,124500.0,2012-01,124500.0
190,2012-02,123400.0,2012-02,123400.0
191,2012-03,123200.0,2012-03,123200.0
192,2012-04,123200.0,2012-04,123200.0
193,2012-05,122800.0,2012-05,122800.0
194,2012-06,122500.0,2012-06,122500.0
195,2012-07,122800.0,2012-07,122800.0
196,2012-08,123600.0,2012-08,123600.0
197,2012-09,124100.0,2012-09,124100.0
198,2012-10,124100.0,2012-10,124100.0
199,2012-11,123700.0,2012-11,123700.0
200,2012-12,123800.0,2012-12,123800.0
201,2013-01,124400.0,2013-01,124400.0
202,2013-02,124900.0,2013-02,124900.0
203,2013-03,125100.0,2013-03,125100.0
204,2013-04,125200.0,2013-04,125200.0
205,2013-05,125800.0,2013-05,125800.0
206,2013-06,126800.0,2013-06,126800.0
207,2013-07,127600.0,2013-07,127600.0
208,2013-08,128300.0,2013-08,128300.0
209,2013-09,129200.0,2013-09,129200.0
210,2013-10,130200.0,2013-10,130200.0
211,2013-11,131300.0,2013-11,131300.0
212,2013-12,132300.0,2013-12,132300.0
213,2014-01,133200.0,2014-01,133200.0
214,2014-02,134200.0,2014-02,134200.0
215,2014-03,135600.0,2014-03,135600.0
216,2014-04,137200.0,2014-04,137200.0
217,2014-05,138900.0,2014-05,138900.0
218,2014-06,140300.0,2014-06,140300.0
219,2014-07,141600.0,2014-07,141600.0
220,2014-08,142900.0,2014-08,142900.0
221,2014-09,144000.0,2014-09,144000.0
222,2014-10,144700.0,2014-10,144700.0
223,2014-11,144400.0,2014-11,144400.0
224,2014-12,143500.0,2014-12,143500.0
225,2015-01,143000.0,2015-01,143000.0
226,2015-02,143100.0,2015-02,143100.0
227,2015-03,143100.0,2015-03,143100.0
228,2015-04,143200.0,2015-04,143200.0
229,2015-05,143300.0,2015-05,143300.0
230,2015-06,143300.0,2015-06,143300.0
231,2015-07,143800.0,2015-07,143800.0
232,2015-08,145100.0,2015-08,145100.0
233,2015-09,146600.0,2015-09,146600.0
234,2015-10,148400.0,2015-10,148400.0
235,2015-11,151400.0,2015-11,151400.0
236,2015-12,154800.0,2015-12,154800.0
237,2016-01,157600.0,2016-01,157600.0
238,2016-02,158700.0,2016-02,158700.0
239,2016-03,157900.0,2016-03,157900.0
240,2016-04,157400.0,2016-04,157400.0
241,2016-05,159300.0,2016-05,159300.0
242,2016-06,162500.0,2016-06,162500.0
243,2016-07,165200.0,2016-07,165200.0
244,2016-08,167000.0,2016-08,167000.0
245,2016-09,168100.0,2016-09,168100.0
246,2016-10,168200.0,2016-10,168200.0
247,2016-11,167900.0,2016-11,167900.0
248,2016-12,168100.0,2016-12,168100.0
249,2017-01,169000.0,2017-01,169000.0
250,2017-02,170200.0,2017-02,170200.0
251,2017-03,171300.0,2017-03,171300.0
252,2017-04,172900.0,2017-04,172900.0
253,2017-05,174900.0,2017-05,174900.0
254,2017-06,175500.0,2017-06,175500.0
255,2017-07,174900.0,2017-07,174900.0
256,2017-08,174600.0,2017-08,174600.0
257,2017-09,175000.0,2017-09,175000.0
258,2017-10,176000.0,2017-10,176000.0
259,2017-11,177200.0,2017-11,177200.0
260,2017-12,177700.0,2017-12,177700.0
261,2018-01,177700.0,2018-01,177700.0
262,2018-02,179800.0,2018-02,179800.0
263,2018-03,185100.0,2018-03,185100.0
264,2018-04,189800.0,2018-04,189800.0
